coupon,tenor,end_date,nominal,recovery,start_date,maturity
0.035,3,2021-09-01,5000000,0.2,2010-03-01,140
0.035,3,2022-07-01,7300000,0.2,2009-07-01,158
0.02,6,2017-07-01,7200000,0.4,2013-01-01,54
0.02,6,2014-09-01,7000000,0.4,2010-03-01,54
0.02,6,2016-07-01,5300000,0.4,2011-07-01,60
0.02,6,2024-09-01,2700000,0.6,2009-09-01,182
0.02,12,2019-07-01,3600000,0.6,2010-07-01,109
0.02,12,2019-01-01,7000000,0.6,2011-01-01,97
0.02,12,2021-09-01,6700000,0.6,2009-09-01,146
0.027,12,2018-07-01,7000000,0.4,2010-07-01,97
0.02,12,2020-10-01,2600000,0.4,2011-10-01,109
0.027,6,2016-06-01,3600000,0.4,2012-06-01,48
0.018,6,2022-06-01,3200000,0.2,2011-06-01,133
0.018,3,2019-04-01,6500000,0.2,2009-04-01,121
0.018,3,2016-05-01,3500000,0.2,2010-05-01,73
