type,strike,price
call,110.00,41.35
call,115.00,36.91
call,120.00,32.80
call,125.00,28.36
call,130.00,24.03
call,135.00,19.94
call,140.00,15.65
call,145.00,12.26
call,150.00,9.15
call,155.00,7.33
call,160.00,6.45
call,165.00,5.89
call,170.00,5.83
call,175.00,5.79
call,180.00,5.30
call,185.00,5.12
put,110,4.05
put,115,4.13
put,120,4.19
put,125,4.27
put,130,4.45
put,135,5.23
put,140,6.18
put,145,7.46
put,150,9.22
put,155,12.73
put,160,16.29
put,165,21.45
put,170,26.20
put,175,32.55
put,180,37.13
put,185,42.94
