date,CHUS,JPUS,KOUS,MAUS,USEU,USUK,THUS,SZUS
1999-01-05,8.2795,111.15,1166.0,3.8,1.176,1.6566,36.18,1.3694
1999-01-06,8.2795,112.78,1160.0,3.8,1.1636,1.6547,36.5,1.3852
1999-01-07,8.2798,111.69,1151.0,3.8,1.1672,1.6495,36.3,1.3863
1999-01-08,8.2796,111.52,1174.0,3.8,1.1554,1.6405,36.45,1.397
1999-01-11,8.2797,108.83,1175.0,3.8,1.1534,1.6375,36.28,1.3963
1999-01-12,8.2795,112.07,1180.0,3.8,1.1548,1.6308,36.46,1.389
1999-01-13,8.2794,113.46,1175.0,3.8,1.1698,1.6493,37.05,1.3585
1999-01-14,8.279,113.25,1187.5,3.8,1.1689,1.653,37.05,1.3618
1999-01-15,8.279,114.19,1185.0,3.8,1.1591,1.65,36.55,1.3785
1999-01-18,8.279,114.19,1185.0,3.8,1.1591,1.65,36.55,1.3785
1999-01-19,8.2787,113.76,1176.5,3.8,1.161,1.655,36.45,1.3752
1999-01-20,8.2791,113.45,1168.0,3.8,1.1575,1.6467,36.5,1.3902
1999-01-21,8.2789,113.75,1174.0,3.8,1.1577,1.6516,36.47,1.3855
1999-01-22,8.2787,114.65,1181.0,3.8,1.1582,1.656,36.9,1.3829
1999-01-25,8.2784,113.8,1181.0,3.8,1.1566,1.6563,36.9,1.3823
1999-01-26,8.278,114.03,1177.0,3.8,1.1577,1.6585,36.75,1.387
1999-01-27,8.2778,115.62,1176.0,3.8,1.1481,1.6485,36.9,1.4012
1999-01-28,8.2778,116.36,1176.5,3.8,1.1395,1.647,37.0,1.4165
1999-01-29,8.2778,116.0,1176.0,3.8,1.1371,1.6457,36.92,1.4168
1999-02-01,8.2775,115.09,1176.0,3.8,1.1303,1.641,36.85,1.4232
1999-02-02,8.2775,112.12,1171.0,3.8,1.1328,1.643,36.75,1.4111
1999-02-03,8.2776,112.46,1171.5,3.8,1.1339,1.6375,36.7,1.4135
1999-02-04,8.2776,112.03,1171.6,3.8,1.1306,1.6395,36.85,1.417
1999-02-05,8.2776,113.14,1171.2,3.8,1.1283,1.637,36.82,1.4173
1999-02-08,8.2776,114.38,1177.0,3.8,1.1296,1.638,37.0,1.4175
1999-02-09,8.2776,114.42,1177.0,3.8,1.13,1.6355,37.13,1.4183
1999-02-10,8.2776,114.45,1179.0,3.8,1.1331,1.629,37.1,1.4083
1999-02-11,8.2776,114.7,1176.4,3.8,1.1303,1.6244,37.05,1.4154
1999-02-12,8.2776,114.32,1176.7,3.7997,1.1282,1.6311,36.95,1.4157
1999-02-15,8.2776,114.32,1176.7,3.7997,1.1282,1.6311,36.95,1.4157
1999-02-16,8.2787,118.08,1176.0,3.8,1.1189,1.6317,36.9,1.429
1999-02-17,8.2787,119.03,1176.0,3.8,1.123,1.6338,37.05,1.4247
1999-02-18,8.2787,119.82,1183.0,3.8,1.1223,1.6338,37.1,1.425
1999-02-19,8.2787,121.0,1206.0,3.8,1.1075,1.6255,37.65,1.4462
1999-02-22,8.2787,120.35,1218.0,3.8,1.1037,1.6238,37.7,1.4483
1999-02-23,8.2787,121.45,1213.0,3.8,1.0993,1.6138,37.56,1.4495
1999-02-24,8.2787,121.9,1219.0,3.8,1.0972,1.598,37.65,1.452
1999-02-25,8.2789,119.26,1225.0,3.8,1.1068,1.606,37.47,1.4345
1999-02-26,8.279,118.7,1224.5,3.8,1.0995,1.6027,37.32,1.4495
1999-03-01,8.2792,119.79,1222.0,3.8,1.0891,1.6058,37.39,1.462
1999-03-02,8.2789,120.47,1225.5,3.8,1.0931,1.6135,37.57,1.4582
1999-03-03,8.2789,121.68,1230.4,3.8,1.0888,1.6134,37.65,1.461
1999-03-04,8.2783,123.5,1241.0,3.8,1.0824,1.6065,37.88,1.47
1999-03-05,8.2784,122.57,1243.0,3.8,1.0843,1.6073,37.47,1.4686
1999-03-08,8.2786,121.73,1240.5,3.8,1.0899,1.6085,37.15,1.4612
1999-03-09,8.2791,121.4,1236.5,3.8,1.0873,1.6148,37.27,1.4675
1999-03-10,8.2788,119.84,1234.9,3.8,1.0961,1.6267,37.48,1.4566
1999-03-11,8.2789,119.57,1231.0,3.8,1.0932,1.627,38.65,1.4685
1999-03-12,8.2789,118.99,1235.0,3.8,1.0936,1.6335,37.45,1.4608
1999-03-15,8.2789,117.7,1232.0,3.8,1.093,1.6223,37.38,1.466
1999-03-16,8.2789,117.74,1230.0,3.8,1.0915,1.624,37.28,1.4665
1999-03-17,8.2788,118.15,1228.0,3.8,1.1015,1.6302,37.3,1.4483
1999-03-18,8.2788,117.53,1226.0,3.8,1.099,1.629,37.445,1.4534
1999-03-19,8.2793,117.05,1220.0,3.8,1.0923,1.6303,37.47,1.462
1999-03-22,8.2792,118.14,1224.0,3.8,1.0915,1.628,37.59,1.464
1999-03-23,8.2795,118.02,1226.5,3.8,1.0918,1.6372,37.53,1.4586
1999-03-24,8.2796,117.35,1224.4,3.8,1.0921,1.641,37.6,1.4575
1999-03-25,8.2798,118.05,1225.0,3.8,1.0871,1.6314,37.65,1.4681
1999-03-26,8.28,120.3,1223.7,3.8,1.0743,1.6205,37.685,1.4845
1999-03-29,8.2797,119.78,1226.2,3.8,1.0716,1.614,37.66,1.4877
1999-03-30,8.28,120.1,1230.0,3.8,1.0732,1.6115,37.67,1.489
1999-03-31,8.28,118.43,1228.0,3.8,1.0808,1.614,37.58,1.4775
1999-04-01,8.2796,120.19,1225.0,3.8,1.0782,1.6063,37.72,1.481
1999-04-02,8.2794,120.6,1225.2,3.8,1.0782,1.6023,37.73,1.481
1999-04-05,8.2795,122.0,1228.0,3.8,1.0706,1.6015,37.765,1.4912
1999-04-06,8.2797,120.74,1231.0,3.8,1.0838,1.592,37.76,1.4725
1999-04-07,8.2797,121.34,1223.0,3.8,1.0784,1.5975,37.77,1.4807
1999-04-08,8.2799,120.85,1227.0,3.8,1.0835,1.6083,37.8,1.4724
1999-04-09,8.2797,121.09,1226.0,3.8,1.0786,1.6068,37.95,1.4832
1999-04-12,8.2797,120.14,1225.0,3.8,1.0842,1.6127,37.98,1.4795
1999-04-13,8.2797,120.04,1223.0,3.8,1.078,1.6135,37.95,1.49
1999-04-14,8.2794,118.89,1220.0,3.8,1.0779,1.6124,37.64,1.4879
1999-04-15,8.2789,119.04,1220.0,3.8,1.0717,1.6103,37.6,1.4973
1999-04-16,8.2787,117.86,1221.0,3.8,1.0688,1.6112,37.4,1.4993
1999-04-19,8.2787,117.99,1215.0,3.8,1.0608,1.6075,37.33,1.5097
1999-04-20,8.2783,118.18,1200.0,3.8,1.063,1.6135,37.4,1.5065
1999-04-21,8.2783,119.76,1195.0,3.8,1.0612,1.6074,37.6,1.508
1999-04-22,8.2783,119.84,1198.0,3.8,1.0598,1.6117,37.57,1.5095
1999-04-23,8.2784,119.26,1195.0,3.8,1.0634,1.617,37.6,1.5071
1999-04-26,8.2793,119.13,1190.0,3.8,1.059,1.6113,37.7,1.5132
1999-04-27,8.2794,120.23,1185.0,3.8,1.0649,1.6177,37.67,1.5085
1999-04-28,8.2791,119.13,1182.0,3.8,1.0616,1.6148,37.45,1.5137
1999-04-29,8.2794,119.26,1176.0,3.8,1.0591,1.6105,37.4,1.519
1999-04-30,8.279,119.43,1189.0,3.8,1.0564,1.6085,37.1,1.5257
1999-05-03,8.279,120.14,1191.0,3.8,1.0571,1.6083,37.39,1.5252
1999-05-04,8.2789,120.94,1197.1,3.8,1.0593,1.621,36.88,1.517
