Dates,ticker,return,momentum,dividend_yield,Industrials,United States,market_intercept,Healthcare,Technology,Utilities,Financial Services,Basic Materials,Consumer Defensive,Ireland,Energy,Communication Services,Consumer Cyclical,value,size,trading_activity,growth,leverage,profitability
2019-04-08,GOOG,-0.015076236,0.774075477,-0.672571582,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.603798955,1.122761172,-0.482463771,0.301080981,-1.985893846,0.368379151
2019-04-15,GOOG,-0.028552344,0.812225416,-0.666522016,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.605853194,1.189737703,-0.542029811,0.340232895,-2.053096094,0.422630174
2019-04-22,GOOG,0.070651716,0.758596806,-0.681000691,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.607006788,1.19254839,-0.412213279,0.340254533,-2.053096094,0.422630174
2019-04-29,GOOG,0.017985993,0.697895503,-0.677565868,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.641991786,1.18159722,-0.395847647,0.342763261,-2.053096094,0.410310641
2019-05-06,GOOG,0.001693455,0.78871518,-0.678535123,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.580113979,1.242024155,1.408191397,0.390334358,-2.319451744,0.345675226
2019-05-13,GOOG,0.025117145,0.785315969,-0.670013939,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.595250924,1.02248205,-0.164130172,0.255777561,-2.168420839,0.07239264
2019-05-20,GOOG,0.026678947,0.763153441,-0.663071132,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.607976733,1.022959605,0.372587286,0.256504858,-2.168420839,0.07239264
2019-05-27,GOOG,0.034653866,0.721978824,-0.662754744,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.599182756,1.020415617,-0.421723417,0.257721435,-2.168420839,0.071719766
2019-06-03,GOOG,-0.017951608,0.660782158,-0.65894622,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.599031512,1.020732012,-0.305021213,0.260520827,-2.162958134,0.07341892
2019-06-10,GOOG,-0.033103361,0.695812782,-0.676693495,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.552234168,1.029723468,0.860876464,0.3222762,-2.143132991,0.054934019
2019-06-17,GOOG,0.037202543,0.733502771,-0.665266153,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.557302613,1.001643685,-0.076163782,0.2799923,-2.162958134,0.073869218
2019-06-24,GOOG,-0.045820383,0.75845764,-0.672598659,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.558613382,1.005636893,-0.205570481,0.279457522,-2.162958134,0.074197462
2019-07-01,GOOG,-0.011693625,0.804451539,-0.668656637,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.509961271,0.99945256,-0.255170486,0.260123708,-2.162958134,0.074591313
2019-07-08,GOOG,0.013011215,0.789725537,-0.66845257,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.54455152,1.024549947,0.013819987,0.25888459,-2.218905022,0.150066943
2019-07-15,GOOG,-0.101165422,0.81648404,-0.673514501,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.548918282,1.022937482,0.022976465,0.256701484,-2.218905022,0.149414192
2019-07-22,GOOG,0.046170893,0.835702134,-0.65668938,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.546586008,1.022142655,-0.329648294,0.256094554,-2.218905022,0.150815738
2019-07-29,GOOG,0.005020985,0.803742719,-0.652057011,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.574500836,1.060635974,0.744599899,0.298133884,-2.218905022,0.149847916
2019-08-05,GOOG,0.008801198,0.810944243,-0.653200542,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.576153665,1.057814039,-0.03034201,0.335725488,-2.216975284,0.116525123
2019-08-12,GOOG,0.022595362,0.716028934,-0.625802498,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.533730536,0.952617804,-0.185062605,0.229373045,-2.115438425,0.069797752
2019-08-19,GOOG,-0.031472285,0.782468576,-0.404070061,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.585063236,1.0569706,-0.31009336,0.323459626,-2.216975284,0.116525123
2019-08-26,GOOG,-0.014066147,0.876602741,-0.417181534,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.618960218,1.003150671,-0.456174903,0.270381263,-2.163159413,0.140078001
2019-09-02,GOOG,-0.028335007,0.819591375,-0.409687476,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.58834641,1.059970908,-0.563841824,0.303278838,-2.216975284,0.118406776
2019-09-09,GOOG,0.007799224,0.830509529,-0.409868791,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.578390714,1.058129215,-0.29540368,0.301811465,-2.186166476,0.12086777
2019-09-16,GOOG,0.003943018,0.829567529,-0.405794824,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.571719175,1.061250459,-0.267606826,0.305000742,-2.186166476,0.108976284
2019-09-23,GOOG,0.013220711,0.79629357,-0.409074069,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.577152235,1.060944058,-0.403970081,0.306733666,-2.186166476,0.108976284
