kappa,theta,sigma,T,P
0.1,0.02,0.01,1,0.9709189413335582
0.1,0.02,0.01,2,0.9439863618294088
0.1,0.02,0.01,5,0.8737123518325726
0.1,0.02,0.01,10,0.7816107807083237
0.1,0.02,0.01,15,0.7093028799033881
0.1,0.02,0.01,30,0.551613603169315
0.1,0.02,0.015,1,0.970923752791199
0.1,0.02,0.015,2,0.9445568960849892
0.1,0.02,0.015,5,0.8784682616903019
0.1,0.02,0.015,10,0.798211805044663
0.1,0.02,0.015,15,0.7402963249492776
0.1,0.02,0.015,30,0.6251490387256313
0.1,0.02,0.019999999999999997,1,0.9709304888719534
0.1,0.02,0.019999999999999997,2,0.9453562233941275
0.1,0.02,0.019999999999999997,5,0.8851700588962408
0.1,0.02,0.019999999999999997,10,0.8220472751458437
0.1,0.02,0.019999999999999997,15,0.7859755056340405
0.1,0.02,0.019999999999999997,30,0.7448547777443472
0.1,0.02,0.024999999999999998,1,0.970939149615879
0.1,0.02,0.024999999999999998,2,0.9463849239486526
0.1,0.02,0.024999999999999998,5,0.8938618362706916
0.1,0.02,0.024999999999999998,10,0.8537416792638419
0.1,0.02,0.024999999999999998,15,0.8488715496371991
0.1,0.02,0.024999999999999998,30,0.9330374763581866
0.1,0.02,0.03,1,0.970949735074479
0.1,0.02,0.03,2,0.9476437449118024
0.1,0.02,0.03,5,0.9046011077954373
0.1,0.02,0.03,10,0.8941434841012053
0.1,0.02,0.03,15,0.9326195020756577
0.1,0.02,0.03,30,1.2287570090082647
0.1,0.02,0.034999999999999996,1,0.970962245310703
0.1,0.02,0.034999999999999996,2,0.9491336013227591
0.1,0.02,0.034999999999999996,5,0.9174594433156921
0.1,0.02,0.034999999999999996,10,0.9443630590916949
0.1,0.02,0.034999999999999996,15,1.042309162375463
0.1,0.02,0.034999999999999996,30,1.7012665705914078
0.1,0.02,0.039999999999999994,1,0.9709766803989474
0.1,0.02,0.039999999999999994,2,0.9508555772053092
0.1,0.02,0.039999999999999994,5,0.9325232639216322
0.1,0.02,0.039999999999999994,10,1.005823566115187
0.1,0.02,0.039999999999999994,15,1.184999497503735
0.1,0.02,0.039999999999999994,30,2.476385021794598
0.1,0.02,0.045,1,0.9709930404250561
0.1,0.02,0.045,2,0.9528109268825075
0.1,0.02,0.045,5,0.949894810391554
0.1,0.02,0.045,10,1.0803280824088666
0.1,0.02,0.045,15,1.370469343302122
0.1,0.02,0.045,30,3.7896875834731647
0.1,0.025,0.01,1,0.9706841326914788
0.1,0.025,0.01,2,0.9431026969141103
0.1,0.025,0.01,5,0.8690708666565238
0.1,0.025,0.01,10,0.7673652712465433
0.1,0.025,0.01,15,0.6841150603744295
0.1,0.025,0.01,30,0.4978796860155951
0.1,0.025,0.015,1,0.9706889429855089
0.1,0.025,0.015,2,0.943672697093008
0.1,0.025,0.015,5,0.8738015113511168
0.1,0.025,0.015,10,0.7836637280453107
0.1,0.025,0.015,15,0.7140079074634871
0.1,0.025,0.015,30,0.5642518700144024
0.1,0.025,0.019999999999999997,1,0.9706956774371983
0.1,0.025,0.019999999999999997,2,0.9444712761524603
0.1,0.025,0.019999999999999997,5,0.8804677061161391
0.1,0.025,0.019999999999999997,10,0.8070647767909612
0.1,0.025,0.019999999999999997,15,0.7580649898995087
0.1,0.025,0.019999999999999997,30,0.6722968047558131
0.1,0.025,0.024999999999999998,1,0.9707043360865952
0.1,0.025,0.024999999999999998,2,0.9454990137411787
0.1,0.025,0.024999999999999998,5,0.8891133095344218
0.1,0.025,0.024999999999999998,10,0.8381815239153605
0.1,0.025,0.024999999999999998,15,0.81872755332572
0.1,0.025,0.024999999999999998,30,0.8421482050133722
0.1,0.025,0.03,1,0.9707149189851904
0.1,0.025,0.03,2,0.9467566563229823
0.1,0.025,0.03,5,0.8997955300520722
0.1,0.025,0.03,10,0.8778469721065654
0.1,0.025,0.03,15,0.8995015599764116
0.1,0.025,0.03,30,1.1090610353325823
0.1,0.025,0.034999999999999996,1,0.9707274261959181
0.1,0.025,0.034999999999999996,2,0.9482451180804861
0.1,0.025,0.034999999999999996,5,0.912585557308651
0.1,0.025,0.034999999999999996,10,0.9271512533877675
0.1,0.025,0.034999999999999996,15,1.0052960670968012
0.1,0.025,0.034999999999999996,30,1.5355423817111489
0.1,0.025,0.039999999999999994,1,0.9707418577931569
0.1,0.025,0.039999999999999994,2,0.9499654820227222
0.1,0.025,0.039999999999999994,5,0.9275693532933409
0.1,0.025,0.039999999999999994,10,0.9874915913246262
0.1,0.025,0.039999999999999994,15,1.142919373017146
0.1,0.025,0.039999999999999994,30,2.2351548076786143
0.1,0.025,0.045,1,0.9707582138627299
0.1,0.025,0.045,2,0.951919001298575
0.1,0.025,0.045,5,0.9448486156433734
0.1,0.025,0.045,10,1.0606382005653283
0.1,0.025,0.045,15,1.3218030605799003
0.1,0.025,0.045,30,3.420525623944181
0.1,0.030000000000000002,0.01,1,0.9704493808359097
0.1,0.030000000000000002,0.01,2,0.942219859196867
0.1,0.030000000000000002,0.01,5,0.8644540387771177
0.1,0.030000000000000002,0.01,10,0.7533793980958713
0.1,0.030000000000000002,0.01,15,0.6598216771583614
0.1,0.030000000000000002,0.01,30,0.44938011014006995
0.1,0.030000000000000002,0.015,1,0.9704541899666103
0.1,0.030000000000000002,0.015,2,0.9427893257990309
0.1,0.030000000000000002,0.015,5,0.8691595525265237
0.1,0.030000000000000002,0.015,10,0.7693808019032139
0.1,0.030000000000000002,0.015,15,0.6886530092599308
0.1,0.030000000000000002,0.015,30,0.5092868309671711
0.1,0.030000000000000002,0.019999999999999997,1,0.9704609227896288
0.1,0.030000000000000002,0.019999999999999997,2,0.9435871573092329
0.1,0.030000000000000002,0.019999999999999997,5,0.8757903339840454
0.1,0.030000000000000002,0.019999999999999997,10,0.7923553469854686
0.1,0.030000000000000002,0.019999999999999997,15,0.7311455952406128
0.1,0.030000000000000002,0.019999999999999997,30,0.6068068665057389
0.1,0.030000000000000002,0.024999999999999998,1,0.9704695793450037
0.1,0.030000000000000002,0.024999999999999998,2,0.9446139328335763
0.1,0.030000000000000002,0.024999999999999998,5,0.8843900087393994
0.1,0.030000000000000002,0.024999999999999998,10,0.8229049653975711
0.1,0.030000000000000002,0.024999999999999998,15,0.7896539904785439
0.1,0.030000000000000002,0.024999999999999998,30,0.7601126612571162
0.1,0.030000000000000002,0.03,1,0.9704801596842131
0.1,0.030000000000000002,0.03,2,0.9458703981371156
0.1,0.030000000000000002,0.03,5,0.8950154813261365
0.1,0.030000000000000002,0.03,10,0.8618474776576703
0.1,0.030000000000000002,0.03,15,0.8675596581448715
0.1,0.030000000000000002,0.03,30,1.001024914670258
0.1,0.030000000000000002,0.034999999999999996,1,0.9704926638701763
0.1,0.030000000000000002,0.034999999999999996,2,0.9473574665467003
0.1,0.030000000000000002,0.034999999999999996,5,0.9077375631979576
0.1,0.030000000000000002,0.034999999999999996,10,0.9102531472221033
0.1,0.030000000000000002,0.034999999999999996,15,0.9695973315796762
0.1,0.030000000000000002,0.034999999999999996,30,1.3859617574284546
0.1,0.030000000000000002,0.039999999999999994,1,0.9705070919772537
0.1,0.030000000000000002,0.039999999999999994,2,0.9490762200575587
0.1,0.030000000000000002,0.039999999999999994,5,0.9226417596819675
0.1,0.030000000000000002,0.039999999999999994,10,0.9694937320897583
0.1,0.030000000000000002,0.039999999999999994,15,1.1023335418872517
0.1,0.030000000000000002,0.039999999999999994,30,2.017423369274119
0.1,0.030000000000000002,0.045,1,0.9705234440912478
0.1,0.030000000000000002,0.045,2,0.9510279106455032
0.1,0.030000000000000002,0.045,5,0.9398292281597005
0.1,0.030000000000000002,0.045,10,1.041307183267964
0.1,0.030000000000000002,0.045,15,1.2748649500970461
0.1,0.030000000000000002,0.045,30,3.0873245581198914
0.1,0.035,0.01,1,0.9702146857531174
0.1,0.035,0.01,2,0.9413378479033393
0.1,0.035,0.01,5,0.859861737205618
0.1,0.035,0.01,10,0.7396484291676291
0.1,0.035,0.01,15,0.6363909682236629
0.1,0.035,0.01,30,0.405604986629593
0.1,0.035,0.015,1,0.9702194937207699
0.1,0.035,0.015,2,0.94190678142825
0.1,0.035,0.015,5,0.8645422535147705
0.1,0.035,0.015,10,0.7553581940224835
0.1,0.035,0.015,15,0.6641984804447143
0.1,0.035,0.015,30,0.45967605954050883
0.1,0.035,0.019999999999999997,1,0.9702262249155115
0.1,0.035,0.019999999999999997,2,0.9427038660889823
0.1,0.035,0.019999999999999997,5,0.8711378097934607
0.1,0.035,0.019999999999999997,10,0.777914008826923
0.1,0.035,0.019999999999999997,15,0.7051821262852604
0.1,0.035,0.019999999999999997,30,0.5476964498920293
0.1,0.035,0.024999999999999998,1,0.9702348793773705
0.1,0.035,0.024999999999999998,2,0.9437296804495382
0.1,0.035,0.024999999999999998,5,0.8796917998760364
0.1,0.035,0.024999999999999998,10,0.8079068349213081
0.1,0.035,0.024999999999999998,15,0.761612849287626
0.1,0.035,0.024999999999999998,30,0.6860683836453719
0.1,0.035,0.03,1,0.9702454571578133
0.1,0.035,0.03,2,0.9449849695768626
0.1,0.035,0.03,5,0.8902608259979886
0.1,0.035,0.03,10,0.8461395873616107
0.1,0.035,0.03,15,0.8367520346047915
0.1,0.035,0.03,30,0.9035128346115817
0.1,0.035,0.034999999999999996,1,0.9702579583197435
0.1,0.035,0.034999999999999996,2,0.9464706459428401
0.1,0.035,0.034999999999999996,5,0.9029153234362227
0.1,0.035,0.034999999999999996,10,0.8936630231585423
0.1,0.035,0.034999999999999996,15,0.9351662820301309
0.1,0.035,0.034999999999999996,30,1.2509521169409894
0.1,0.035,0.039999999999999994,1,0.9702723829375037
0.1,0.035,0.039999999999999994,2,0.9481877905298444
0.1,0.035,0.039999999999999994,5,0.9177403432817242
0.1,0.035,0.039999999999999994,10,0.9518238988754499
0.1,0.035,0.039999999999999994,15,1.063188940757822
0.1,0.035,0.039999999999999994,30,1.8209016381824372
0.1,0.035,0.045,1,0.9702887310968755
0.1,0.035,0.045,2,0.9501376541417139
0.1,0.035,0.045,5,0.9348365055303693
0.1,0.035,0.045,10,1.022328489910612
0.1,0.035,0.045,15,1.2295936433018264
0.1,0.035,0.045,30,2.7865813547624896
0.1,0.04000000000000001,0.01,1,0.969980047429372
0.1,0.04000000000000001,0.01,2,0.9404566622599125
0.1,0.04000000000000001,0.01,5,0.8552938316491492
0.1,0.04000000000000001,0.01,10,0.7261677186194073
0.1,0.04000000000000001,0.01,15,0.61379229942979
0.1,0.04000000000000001,0.01,30,0.36609409599261866
