date,AUD,EUR,GBP,CAD,CNY,JPY,KRW,MYR,SGD,CHF,THB
2000-01-03,0.6591,1.0155,1.627,1.4465,8.2798,101.7,1128,3.8,1.6563,1.5808,36.97
2000-01-04,0.6562,1.0309,1.637,1.4518,8.2799,103.09,1122.5,3.8,1.6535,1.5565,37.13
2000-01-05,0.655,1.0335,1.6415,1.4518,8.2798,103.77,1135,3.8,1.656,1.5526,37.1
2000-01-06,0.654,1.0324,1.6475,1.4571,8.2797,105.19,1146.5,3.8,1.6655,1.554,37.62
2000-01-07,0.6548,1.0294,1.6384,1.4505,8.2794,105.17,1138,3.8,1.6625,1.5623,37.3
2000-01-10,0.6561,1.0252,1.6374,1.4568,8.2794,105.28,1133.5,3.8,1.6618,1.5704,37.27
2000-01-11,0.6575,1.0322,1.648,1.457,8.2795,106.09,1147,3.8,1.669,1.5605,37.61
2000-01-12,0.6578,1.0281,1.6465,1.455,8.2796,105.76,1144.5,3.8,1.669,1.566,37.54
2000-01-13,0.6687,1.027,1.6482,1.4495,8.2798,106.09,1135.5,3.8,1.67,1.5707,37.49
2000-01-14,0.6665,1.0128,1.6353,1.4497,8.2797,105.86,1125,3.8,1.6752,1.5945,37.55
2000-01-18,0.664,1.0121,1.638,1.4502,8.2793,105.49,1127,3.8,1.6735,1.5942,37.4
2000-01-19,0.6634,1.0115,1.6438,1.4527,8.2797,105.39,1134,3.8,1.6753,1.5965,37.4
2000-01-20,0.6666,1.0133,1.6538,1.4484,8.2794,105.45,1126,3.8,1.6765,1.5915,37.28
2000-01-21,0.6621,1.01,1.6504,1.442,8.2795,104.96,1128,3.8,1.681,1.5973,37.23
2000-01-24,0.6544,1.0019,1.652,1.44,8.2789,105.52,1124.5,3.8,1.6825,1.609,37.3
2000-01-25,0.6542,1.0041,1.6482,1.4389,8.2786,105.87,1127,3.8,1.6867,1.6085,37.27
2000-01-26,0.6505,1.0011,1.6395,1.4379,8.2782,105.85,1127.8,3.8,1.695,1.6102,37.48
2000-01-27,0.655,0.989,1.6363,1.435,8.2783,104.91,1125,3.8,1.693,1.6317,37.46
2000-01-28,0.6265,0.9765,1.621,1.4495,8.2781,107.15,1121,3.8,1.71,1.6485,37.65
2000-01-31,0.6382,0.9757,1.6182,1.4517,8.2777,107.33,1124,3.8,1.701,1.6495,37.55
2000-02-01,0.6315,0.9731,1.615,1.4468,8.2774,107.67,1127,3.8,1.699,1.654,37.51
2000-02-02,0.636,0.9768,1.606,1.4435,8.2773,108.4,1131,3.8,1.6985,1.6502,37.65
2000-02-03,0.6387,0.9887,1.6025,1.4417,8.2781,107.92,1130.5,3.8,1.6925,1.6255,37.59
2000-02-04,0.6315,0.976,1.5915,1.4467,8.2788,107.54,1130,3.8,1.693,1.647,37.55
2000-02-07,0.6339,0.9783,1.5917,1.4457,8.2788,108.75,1129.6,3.8,1.6958,1.6426,37.75
2000-02-08,0.6353,0.9862,1.6105,1.4473,8.2788,109.59,1129.5,3.8,1.6968,1.6301,37.64
2000-02-09,0.6345,0.9914,1.6115,1.4443,8.2788,109.11,1124,3.8,1.6918,1.6232,37.55
2000-02-10,0.632,0.9865,1.6057,1.45,8.2788,108.74,1121,3.8,1.6929,1.628,37.42
2000-02-11,0.6282,0.9847,1.5923,1.4515,8.2788,108.99,1115,3.8,1.6947,1.6305,37.43
2000-02-14,0.6279,0.9783,1.589,1.4547,8.2779,108.65,1128,3.8,1.6975,1.6435,37.49
2000-02-15,0.63,0.9834,1.595,1.4585,8.2777,108.75,1128,3.8,1.696,1.633,37.52
2000-02-16,0.6301,0.9842,1.604,1.452,8.2777,109.38,1126,3.8,1.7033,1.6302,37.7
2000-02-17,0.632,0.9863,1.605,1.4522,8.2772,110.27,1128,3.8,1.706,1.6274,37.77
2000-02-18,0.6292,0.985,1.5984,1.4512,8.2772,110.88,1129,3.8,1.7058,1.6282,38.11
2000-02-22,0.6257,1.006,1.6165,1.4595,8.2773,111.04,1135,3.8,1.7085,1.5983,38.22
2000-02-23,0.6196,1.0017,1.6047,1.4651,8.278,111.11,1136,3.8,1.714,1.6082,38.09
2000-02-24,0.6144,0.9931,1.5981,1.4587,8.278,110.95,1144,3.8,1.7165,1.62,38.22
2000-02-25,0.6175,0.9763,1.5908,1.4505,8.2786,110.98,1137,3.8,1.711,1.6475,37.88
2000-02-28,0.6116,0.9669,1.5935,1.4538,8.2786,109.17,1135,3.8,1.7185,1.6615,37.95
2000-02-29,0.6155,0.9643,1.578,1.4505,8.2786,109.88,1131.31,3.8,1.7237,1.6665,38.13
2000-03-01,0.6067,0.97,1.5849,1.447,8.2786,107.1,1128.5,3.8,1.7182,1.6568,38.11
2000-03-02,0.6077,0.9619,1.5765,1.4543,8.2787,107.37,1120.5,3.8,1.7214,1.6714,38
2000-03-03,0.6082,0.9618,1.581,1.451,8.2789,107.8,1120.5,3.8,1.7253,1.6712,38.01
2000-03-06,0.6016,0.9603,1.5732,1.4555,8.2785,107.74,1119.3,3.8,1.7252,1.675,38.1
2000-03-07,0.6035,0.956,1.5772,1.4527,8.2784,106.2,1118.7,3.8,1.7199,1.681,38.06
2000-03-08,0.6094,0.9576,1.5855,1.4592,8.2786,106.89,1119.2,3.8,1.714,1.677,37.94
2000-03-09,0.6155,0.9684,1.5815,1.457,8.2787,106.45,1123,3.8,1.708,1.6595,37.93
2000-03-10,0.6136,0.9659,1.5793,1.4575,8.2785,106.27,1120.2,3.8,1.7035,1.6661,37.85
2000-03-13,0.6165,0.9648,1.5782,1.4614,8.2781,105.32,1121,3.8,1.7068,1.6702,37.93
2000-03-14,0.614,0.9644,1.5725,1.4632,8.278,104.85,1118.4,3.8,1.7095,1.6715,37.87
2000-03-15,0.6125,0.9696,1.573,1.468,8.2778,105.58,1118.5,3.8,1.715,1.6618,38.16
2000-03-16,0.6107,0.971,1.5747,1.4724,8.2777,105.63,1118,3.8,1.712,1.6593,37.96
2000-03-17,0.6067,0.9694,1.5705,1.4728,8.2785,106.1,1117.3,3.8,1.7161,1.662,37.97
2000-03-20,0.6065,0.971,1.5686,1.4703,8.2786,106.5,1118.18,3.8,1.72,1.6605,38.04
2000-03-21,0.61,0.9703,1.5725,1.4662,8.2783,106.91,1117,3.8,1.7188,1.6615,37.9
2000-03-22,0.6056,0.9608,1.5705,1.472,8.2783,106.77,1113,3.8,1.7125,1.675,37.8
2000-03-23,0.6041,0.9691,1.583,1.4727,8.2787,107.45,1110,3.8,1.7115,1.6522,37.75
2000-03-24,0.6064,0.9724,1.591,1.465,8.2789,107.25,1108.7,3.8,1.716,1.6333,37.72
2000-03-27,0.6114,0.9645,1.5855,1.4605,8.2792,107.13,1112.1,3.8,1.716,1.6468,37.8
2000-03-28,0.6141,0.9614,1.5872,1.4541,8.2795,105.9,1112.5,3.8,1.715,1.6551,37.8
2000-03-29,0.6124,0.9524,1.587,1.4555,8.2789,105.6,1109.4,3.8,1.7168,1.6725,37.79
2000-03-30,0.6125,0.9594,1.5922,1.4557,8.2788,105.53,1107.5,3.8,1.7194,1.6605,37.88
2000-03-31,0.6062,0.9574,1.5922,1.4538,8.2787,102.73,1105.5,3.8,1.712,1.663,37.85
2000-04-03,0.6073,0.956,1.598,1.4548,8.2786,104.82,1113,3.8,1.7173,1.6587,37.8
2000-04-04,0.6032,0.9588,1.5965,1.4531,8.2791,105.33,1114,3.8,1.7183,1.65,37.86
2000-04-05,0.6053,0.9647,1.59,1.4548,8.2795,105,1115.5,3.8,1.716,1.633,38.05
2000-04-06,0.6016,0.958,1.58,1.4515,8.2795,104.78,1112,3.8,1.715,1.639,38.05
2000-04-07,0.6003,0.959,1.583,1.4574,8.2795,105.33,1107.5,3.8,1.7162,1.6383,37.995
2000-04-10,0.5991,0.9588,1.5828,1.4615,8.2798,106.37,1110.5,3.8,1.719,1.6435,38.05
2000-04-11,0.5957,0.9591,1.5873,1.4635,8.2791,106.95,1110,3.8,1.72,1.6415,38.07
2000-04-12,0.597,0.9551,1.5882,1.4623,8.2796,105.86,1108.5,3.8,1.7193,1.649,38.05
2000-04-13,0.5963,0.9524,1.5881,1.4661,8.2794,105.76,1107,3.8,1.716,1.652,37.85
2000-04-14,0.5972,0.9564,1.586,1.4767,8.2794,105.12,1111.2,3.8,1.7078,1.6408,37.9
2000-04-17,0.5913,0.955,1.5853,1.4855,8.2794,104.19,1113.8,3.8,1.7069,1.644,37.97
