days,rates
22,0.01934
121,0.01933
152,0.01928
182,0.01925
215,0.01922
243,0.019190000000000002
274,0.01916
306,0.019129999999999998
335,0.019110000000000002
366,0.019100000000000002
455,0.01907
547,0.01915
639,0.019289999999999998
733,0.019500000000000003
1097,0.0204
1462,0.02137
1827,0.022279999999999998
2192,0.023129999999999998
2560,0.023940000000000003
2924,0.0247
3288,0.025419999999999998
3653,0.026080000000000002
4019,0.026710000000000005
4384,0.0273
5480,0.02868
7306,0.029859999999999998
9133,0.03019
10960,0.030150000000000003
14611,0.02959
18263,0.028769999999999997
21916,0.027889
