days,rates
0, 0.0225
29,0.02214515359713491
61,0.021764947480124842
90,0.021672953829359014
121,0.021544310567129427
152,0.021444041516542854
182,0.021317
215,0.021240000000000002
244,0.021189999999999997
274,0.021109999999999997
306,0.02105
336,0.021
366,0.02099
397,0.02099
425,0.021029999999999997
455,0.02112
488,0.02125
516,0.021390000000000003
547,0.021559999999999996
733,0.02204
1097,0.02298
1462,0.02391
1827,0.02477
2192,0.02558
2560,0.02635
2924,0.02707
3288,0.02774
3653,0.02835
4019,0.02892
4384,0.02944
4751,0.029900000000000003
5115,0.030299999999999997
5480,0.03064
5845,0.030920000000000003
6210,0.03116
6575,0.03134
6942,0.031490000000000004
7306,0.0316
7671,0.03168
8036,0.03173
8402,0.03177
8769,0.03178
9133,0.03178
9497,0.03177
9863,0.03174
10228,0.03171
10593,0.03167
10960,0.03162
12787,0.031310000000000004
14611,0.03089
18263,0.029900000000000003
21916,0.02887
