dates,yields
2021-01-15,-0.652548
2021-04-15,-0.687966
2021-07-15,-0.718319
2021-10-15,-0.744011
2022-10-15,-0.807362
2023-10-15,-0.822144
2024-10-15,-0.803715
2025-10-15,-0.763496
2026-10-15,-0.709892
2027-10-15,-0.649001
2028-10-15,-0.585169
2029-10-15,-0.521425
2030-10-15,-0.459808
2031-10-15,-0.401628
2032-10-15,-0.347657
2033-10-15,-0.298283
2034-10-15,-0.25362
2035-10-15,-0.213593
2036-10-15,-0.178005
2037-10-15,-0.146578
2038-10-15,-0.118993
2039-10-15,-0.094911
2040-10-15,-0.073989
2041-10-15,-0.055896
2042-10-15,-0.040317
2043-10-15,-0.026957
2044-10-15,-0.015546
2045-10-15,-0.00584
2046-10-15,0.002383
2047-10-15,0.00932
2048-10-15,0.015145
2049-10-15,0.020013
2050-10-15,0.024059
