date,AXON,BRENT,CEG,EVO,FIVE,HWM,MBLY,NFE,NVDA,NYCB,PLTR,QXO,SEDG,SGML,TBIL,TDOC,TPL,TRGP,UAL,VST,WOLF,SP500
2023-12-13,248.06,75.472,115.6272,10.09000015,201.5399933,54.0448761,41.08000183,35.84877777,48.07437515,31.28863907,17.87,66.04779816,82.61000061,28.02000046,0.0524,20.12,514.2886963,82.97421265,41.58000183,37.5872,40.33000183,4707.089844
2023-12-14,253.1199951,76.02999878,114.8029,11.32999992,200.9799957,52.61923218,42.29999924,37.36296463,48.33629608,33.44545746,18.20999908,56.38389587,96.31999969,26.93000031,0.0523,21.25,523.9381104,84.37259674,43.59000015,36.96598053,44.25,4719.549805
2023-12-15,255.9799957,73.23999786,117.9312,11.02000046,194.3600006,52.63916779,41.95999908,37.01883316,48.87614059,32.3818,18.20000076,57.3169632,97.12000275,26.64999962,0.0524,20.52000046,521.7429,83.52184296,43.58000183,37.15332413,43.31999969,4719.189941
2023-12-18,255.6900024,74.26000214,118.5369797,11.19,190.6000061,53.0279808,41.49,36.60586929,50.06280518,31.1409111,17.84000015,64.71485138,93.48,29.47999954,0.0526,20.39999962,523.4220581,84.07923889,42.33000183,37.23220062,43.33000183,4740.560059
2023-12-19,255.9199982,76.61000061,119.9769745,11.32999992,197.9700012,53.4866,42.22000122,36.39939499,49.58993912,31.20000267,17.95000076,63.84843063,102.2399979,30.37,0.0523,21.57999992,531.5884,84.36282349,42.41999817,37.40375137,44.88999939,4768.370117
2023-12-20,252.7700043,76.55000305,116.203186,11.31,195.0299988,52.55941772,42.15000153,35.40632248,48.09736252,30.0182,17.25,67.9139328,94.85,31.67000008,0.0524,20.5,527.119751,83.88365936,41.18000031,37.29467392,41.90999985,4698.350098
2023-12-21,256.8399963,77.94999695,117.4942169,11.64000034,199.1000061,53.30713272,42.90999985,36.42889023,48.97611618,29.72272873,17.59000015,76.5781,97.08000183,33.20000076,0.0522,21.28000069,528.5342,85.18425751,42.58000183,37.47316742,44.88000107,4746.75
2023-12-22,259.0299988,79.23,114.5347672,11.57999992,202.6999969,53.40682602,42.95000076,37.10732269,48.8162,29.78181839,17.40999985,72.44597626,96.02999878,32.79000092,0.0524,21.5,527.80896,84.79309845,42.54999924,37.70123672,44.43000031,4754.629883
2023-12-26,258.1099854,79.69999695,116.7593231,11.69999981,210.3600006,53.6760025,43.84999847,38.37569427,49.26502991,30.43181992,17.68000031,79.0441,96.95999908,33.09500122,0.0525,21.85000038,535.227356,85.6145,42.08000183,37.87973022,46.84000015,4774.75
2023-12-27,259.0799866,79.38999939,116.6103592,11.89000034,212.6999969,53.88536072,43.97000122,37.95290375,49.40299225,30.19545555,17.46999931,86.97515869,96.43000031,32.11000061,0.0524,22.06999969,534.7439,85.1354,41.72999954,38.05822372,46.51,4781.580078
2023-12-28,258.5899963,79.06999969,116.3024979,11.84000015,213.8399963,53.9452,43.84000015,37.64810181,49.50796509,30.7863636,17.55999947,102.9705887,96.73,31.78000069,0.0525,22.10000038,522.0337524,84.4410553,41.97000122,38.49452972,45.47000122,4783.350098
2023-12-29,258.3299866,81.06999969,116.0840073,11.72999954,213.1600037,53.9552,43.31999969,37.0974884,49.50796509,30.22500038,17.17000008,114.0340958,93.6,31.53000069,0.052,21.54999924,513.6484985,84.94955444,41.26,38.19704437,43.51,4769.830078
2024-01-02,251.6300049,79.65,114.4553,11.39999962,215.5099945,53.56633377,41.34000015,36.58620453,48.15434647,30.75681877,16.57999992,107.7692184,91.69999695,30.23999977,0.0522,21.93000031,524.1537476,84.50950623,40.72000122,37.75081635,43.24,4742.830078
2024-01-03,247.4299927,78.38999939,115.0511856,10.51000023,204.6900024,52.59928894,39.72000122,36.14374924,47.5555191,30.22500038,16.09000015,101.5709839,86.44000244,29.57999992,0.0524,21.23999977,521.2039795,85.81010437,39.52999878,37.85989761,40.56000137,4704.810059
2024-01-04,244.9299927,77.04000092,114.5645599,9.600000381,204.9600067,52.43978119,29.96999931,35.681633,47.98439789,30.19545555,16.25,123.2981186,82.80000305,29.27000046,0.0524,21.36000061,506.4783936,84.34326935,40.47000122,38.07805252,39.58000183,4688.680176
2024-01-05,244.2100067,75.88999939,115.4384995,9.739999771,200.8399963,53.6660347,30.48999977,35.779953,49.08308029,30.90454483,15.97999954,146.4914856,79.58000183,29.67000008,0.0524,21.39999962,508.03,83.89344025,41.76,38.26646042,40.81999969,4697.240234
2024-01-08,251.6100006,78.25,116.2230453,10.05000019,192.8800049,53.92523956,31.43000031,35.79962158,52.23818588,31.28863907,16.67000008,126.4305496,78.54000092,28.94000053,0.0525,22.03000069,501.9934,82.48526764,42.91999817,38.81184769,41.70999908,4763.540039
