days,rates
8,0.0364
29,0.03658745
61,0.03649055
90,0.0363861
121,0.03627215
152,0.0359891
182,0.035703
215,0.03541615
243,0.03511865
274,0.03484505
306,0.0345774
335,0.034364
366,0.03416385
455,0.0335526
547,0.0332232
639,0.0330772
733,0.03306285
1097,0.0333151
1462,0.033885700000000005
1827,0.03454335
2192,0.035256300000000004
2560,0.0359574
2924,0.03660785
3288,0.037220550000000005
3653,0.03779950000000001
4384,0.038871
5480,0.040153
7306,0.04128785000000001
9133,0.041527650000000006
10960,0.04132035
