date,AAPL,AMZN,BA,GOOG,IBM,MGM,T,TSLA,SP500
27/03/2014,71.86567765,338.47,111.0784799,558.46,167.3463387,24.62934266,28.80140962,207.32,1849.040039
28/03/2014,71.78544953,338.29,112.2054022,559.99,167.8929053,24.60956006,28.8920319,212.37,1857.619995
31/03/2014,71.7694039,336.365,113.1339862,556.97,169.6912855,25.57890768,28.8920319,208.45,1872.339966
01/04/2014,72.42593737,342.99,115.5861692,567.16,171.4632191,26.24162493,28.90850868,216.97,1885.52002
02/04/2014,72.54627955,341.96,115.676323,567,170.6257381,26.40977707,29.13918359,230.29,1890.900024
03/04/2014,72.04351665,333.62,116.1000458,569.74,169.8675973,25.96466847,29.35338171,225.4,1888.77002
04/04/2014,71.1115333,323,114.8378928,543.14,169.0565631,25.15358168,29.2874746,212.225,1865.089966
07/04/2014,69.99502527,317.76,113.22414,538.15,171.4808502,23.65999504,29.23804426,207.52,1845.040039
08/04/2014,69.99101386,327.07,111.9259255,554.9,170.3965327,24.19412536,29.43576561,215.46,1851.959961
09/04/2014,70.91096299,331.805,114.3871239,564.14,173.3497553,24.58977745,29.14366133,216.93,1872.180054
10/04/2014,69.9963624,317.11,111.4661412,540.95,172.5034587,23.81825588,29.31057806,204.19,1833.079956
11/04/2014,69.47889101,311.73,110.0507268,530.6,172.0714948,23.65010374,29.37734475,203.78,1815.689941
14/04/2014,69.75567803,315.91,111.1145414,532.52,174.3459169,23.42260379,29.51087814,198.09,1830.609985
15/04/2014,69.2582503,316.08,112.0341101,536.44,173.6847477,23.20499514,29.77794491,193.91,1842.97998
16/04/2014,69.39866289,323.68,113.6298321,556.54,173.1381811,23.95673411,30.12847005,199.11,1862.310059
17/04/2014,70.19158416,324.91,115.3247232,536.1,167.5050193,23.69956025,30.07839503,198.12,1864.849976
21/04/2014,71.0246195,330.87,115.2345695,528.62,169.4973426,23.62042983,30.0950867,204.38,1871.890015
22/04/2014,71.09535396,329.32,114.9911542,534.81,169.3915555,24.69858178,30.28704094,218.64,1879.550049
23/04/2014,70.16617859,324.58,117.7678909,526.94,169.0213007,23.9270602,29.14366133,207.99,1875.390015
24/04/2014,75.91853496,337.15,117.0737067,525.16,167.6901467,24.28314708,28.79313619,207.86,1878.609985
25/04/2014,76.47612041,303.83,115.9918613,516.18,167.1700269,23.40282118,28.78479036,199.85,1863.400024
28/04/2014,79.43787526,296.58,114.5313699,517.15,170.2642989,22.76977784,29.27719471,198.51,1869.430054
