None,date,ticker,adj_close
0,2018-03-27,FOX,36.08
1,2018-03-26,FOX,36.58
2,2018-03-23,FOX,35.45
3,2018-03-22,FOX,36.18
4,2018-03-21,FOX,36.3
5,2018-03-20,FOX,36.18
6,2018-03-19,FOX,36.25
7,2018-03-16,FOX,36.62
8,2018-03-15,FOX,36.7
9,2018-03-14,FOX,37.23
10,2018-03-13,FOX,36.85
11,2018-03-12,FOX,37.5
12,2018-03-09,FOX,37.21
13,2018-03-08,FOX,36.79
14,2018-03-07,FOX,36.51
15,2018-03-06,FOX,37.02
16,2018-03-05,FOX,36.15
17,2018-03-02,FOX,35.93
18,2018-03-01,FOX,35.53
19,2018-02-28,FOX,36.42
20,2018-02-27,FOX,37.14
21,2018-02-26,FOX,38.4
22,2018-02-23,FOX,37.62
23,2018-02-22,FOX,36.73
24,2018-02-21,FOX,36.56
25,2018-02-20,FOX,36.61
26,2018-02-16,FOX,37.04
27,2018-02-15,FOX,36.65
28,2018-02-14,FOX,36.18
29,2018-02-13,FOX,36.19
30,2018-02-12,FOX,35.95
31,2018-02-09,FOX,35.17
32,2018-02-08,FOX,34.07
33,2018-02-07,FOX,35.7
34,2018-02-06,FOX,36.42
35,2018-02-05,FOX,35.63
36,2018-02-02,FOX,36.22
37,2018-02-01,FOX,36.71
38,2018-01-31,FOX,36.49
39,2018-01-30,FOX,37.88
40,2018-01-29,FOX,38.14
41,2018-01-26,FOX,38.32
42,2018-01-25,FOX,37.73
43,2018-01-24,FOX,37.5
44,2018-01-23,FOX,37.19
45,2018-01-22,FOX,36.96
46,2018-01-19,FOX,36.26
47,2018-01-18,FOX,35.73
48,2018-01-17,FOX,36.49
49,2018-01-16,FOX,35.79
50,2018-01-12,FOX,36.37
51,2018-01-11,FOX,35.8
52,2018-01-10,FOX,35.32
53,2018-01-09,FOX,36.18
54,2018-01-08,FOX,35.85
55,2018-01-05,FOX,36.35
56,2018-01-04,FOX,36.17
57,2018-01-03,FOX,35.93
58,2018-01-02,FOX,35.36
59,2017-12-29,FOX,34.12
60,2017-12-28,FOX,34.08
61,2017-12-27,FOX,34.14
62,2017-12-26,FOX,34.17
63,2017-12-22,FOX,34.72
64,2017-12-21,FOX,34.53
65,2017-12-20,FOX,33.86
66,2017-12-19,FOX,34.37
67,2017-12-18,FOX,34.5
68,2017-12-15,FOX,34.22
69,2017-12-14,FOX,34.22
70,2017-12-13,FOX,32.34
71,2017-12-12,FOX,33.6
72,2017-12-11,FOX,33.27
73,2017-12-08,FOX,32.97
74,2017-12-07,FOX,33.77
75,2017-12-06,FOX,32.7
76,2017-12-05,FOX,32.48
77,2017-12-04,FOX,32.31
78,2017-12-01,FOX,31.47
79,2017-11-30,FOX,31.15
80,2017-11-29,FOX,31.3
81,2017-11-28,FOX,30.17
82,2017-11-27,FOX,29.7
83,2017-11-24,FOX,29.78
84,2017-11-22,FOX,29.94
85,2017-11-21,FOX,30.1
