Date,Price,Volume
18/05/2020,78.74,135178400
19/05/2020,78.29,101729600
20/05/2020,79.81,111504800
21/05/2020,79.21,102688800
21/05/2020,79.21,102688800
22/05/2020,79.72,81803200
26/05/2020,79.18,125522000
27/05/2020,79.53,112945200
28/05/2020,79.56,133560800
29/05/2020,79.49,153532400
01/06/2020,80.46,80791200
01/06/2020,80.46,80791200
01/06/2020,80.46,80791200
02/06/2020,80.83,87642800
03/06/2020,81.28,104491200
04/06/2020,80.58,87560400
05/06/2020,82.88,137250400
08/06/2020,83.36,95654400
09/06/2020,86.00,147712400
10/06/2020,88.21,166651600
11/06/2020,83.97,201662400
12/06/2020,84.70,200146000
15/06/2020,85.75,138808800
16/06/2020,88.02,165428800
17/06/2020,87.90,114406400
18/06/2020,87.93,96820400
19/06/2020,87.43,264476000
22/06/2020,89.72,135445200
23/06/2020,91.63,212155600
24/06/2020,90.01,192623200
25/06/2020,91.21,137522400
26/06/2020,88.41,205256800
29/06/2020,90.45,130646000
30/06/2020,91.20,140223200
01/07/2020,91.03,110737200
02/07/2020,91.03,114041600
06/07/2020,93.46,118655600
07/07/2020,93.17,112424400
08/07/2020,95.34,117092000
09/07/2020,95.75,125642800
10/07/2020,95.92,90257200
13/07/2020,95.48,191649200
14/07/2020,97.06,170989200
15/07/2020,97.72,153198000
16/07/2020,96.52,110577600
17/07/2020,96.33,92186800
20/07/2020,98.36,90318000
21/07/2020,97.00,103433200
22/07/2020,97.27,89001600
23/07/2020,92.85,197004400
24/07/2020,92.61,185438800
27/07/2020,94.81,121214000
28/07/2020,93.25,103625600
29/07/2020,95.04,90329200
30/07/2020,96.19,158130000
31/07/2020,106.26,374336800
03/08/2020,108.94,308151200
04/08/2020,109.67,173071600
05/08/2020,110.06,121776800
06/08/2020,113.90,202428800
07/08/2020,111.11,198045600
10/08/2020,112.73,212403600
11/08/2020,109.38,187902400
12/08/2020,113.01,165598000
13/08/2020,115.01,210082000
14/08/2020,114.91,165565200
17/08/2020,114.61,119561600
18/08/2020,115.56,105633600
19/08/2020,115.71,145538000
20/08/2020,118.28,126907200
21/08/2020,124.37,338054800
24/08/2020,125.86,345937600
25/08/2020,124.82,211495600
26/08/2020,126.52,163022400
