date,inter,milan
2016-01-31,37,37
2016-02-07,20,18
2016-02-14,27,19
2016-02-21,15,37
2016-02-28,48,23
2016-03-06,22,16
2016-03-13,22,17
2016-03-20,14,18
2016-03-27,12,15
2016-04-03,21,31
2016-04-10,22,22
2016-04-17,22,27
2016-04-24,15,25
2016-05-01,18,26
2016-05-08,14,24
2016-05-15,14,31
2016-05-22,14,24
2016-05-29,18,19
2016-06-05,20,19
2016-06-12,15,17
2016-06-19,19,19
2016-06-26,21,24
2016-07-03,25,30
2016-07-10,27,30
2016-07-17,27,27
2016-07-24,36,30
2016-07-31,36,32
2016-08-07,45,32
2016-08-14,38,32
2016-08-21,38,47
2016-08-28,37,32
2016-09-04,17,19
2016-09-11,35,26
2016-09-18,46,25
2016-09-25,27,23
2016-10-02,24,24
2016-10-09,13,17
2016-10-16,28,44
2016-10-23,30,35
2016-10-30,42,21
2016-11-06,26,21
2016-11-13,17,17
2016-11-20,36,38
2016-11-27,34,18
2016-12-04,16,23
2016-12-11,19,38
2016-12-18,27,44
2016-12-25,16,20
2017-01-01,24,20
2017-01-08,29,30
2017-01-15,28,38
2017-01-22,28,33
2017-01-29,30,23
2017-02-05,42,31
2017-02-12,19,25
2017-02-19,22,25
2017-02-26,27,30
2017-03-05,20,39
2017-03-12,33,26
2017-03-19,15,20
2017-03-26,13,18
2017-04-02,22,21
2017-04-09,39,47
2017-04-16,23,24
2017-04-23,19,23
2017-04-30,27,25
2017-05-07,27,36
2017-05-14,28,24
2017-05-21,31,34
2017-05-28,29,37
2017-06-04,29,41
2017-06-11,29,51
2017-06-18,26,44
2017-06-25,30,45
2017-07-02,34,51
2017-07-09,41,77
2017-07-16,46,78
2017-07-23,49,67
2017-07-30,40,63
2017-08-06,47,48
2017-08-13,46,67
2017-08-20,68,65
2017-08-27,47,48
2017-09-03,21,24
2017-09-10,35,46
2017-09-17,28,32
2017-09-24,23,40
2017-10-01,20,32
2017-10-08,16,20
2017-10-15,58,53
2017-10-22,30,51
2017-10-29,27,29
2017-11-05,23,25
2017-11-12,13,24
2017-11-19,31,25
2017-11-26,19,25
2017-12-03,52,38
2017-12-10,47,36
2017-12-17,24,36
2017-12-24,48,53
2017-12-31,29,25
2018-01-07,25,20
2018-01-14,27,19
2018-01-21,37,26
2018-01-28,40,35
2018-02-04,19,28
2018-02-11,29,26
2018-02-18,23,35
2018-02-25,18,53
2018-03-04,18,41
2018-03-11,30,43
2018-03-18,23,29
2018-03-25,21,40
2018-04-01,38,49
2018-04-08,29,28
2018-04-15,25,41
2018-04-22,63,22
2018-04-29,31,27
2018-05-06,34,46
2018-05-13,27,28
2018-05-20,45,31
2018-05-27,23,26
2018-06-03,26,26
2018-06-10,27,25
2018-06-17,29,32
2018-06-24,33,52
2018-07-01,33,41
2018-07-08,38,43
2018-07-15,39,53
2018-07-22,44,58
2018-07-29,58,80
2018-08-05,76,73
2018-08-12,63,78
2018-08-19,39,55
2018-08-26,47,56
2018-09-02,21,23
2018-09-09,31,22
2018-09-16,57,38
2018-09-23,46,45
2018-09-30,34,41
2018-10-07,27,27
2018-10-14,20,25
2018-10-21,65,59
2018-10-28,55,46
2018-11-04,50,46
2018-11-11,31,51
2018-11-18,25,23
2018-11-25,36,40
2018-12-02,63,35
2018-12-09,46,47
2018-12-16,28,38
2018-12-23,55,48
2018-12-30,23,33
2019-01-06,25,40
2019-01-13,38,62
2019-01-20,26,61
2019-01-27,55,53
2019-02-03,40,37
2019-02-10,36,45
2019-02-17,48,41
2019-02-24,51,46
2019-03-03,37,34
2019-03-10,50,29
2019-03-17,54,52
2019-03-24,22,30
2019-03-31,42,56
2019-04-07,29,38
2019-04-14,36,33
2019-04-21,44,39
2019-04-28,30,34
2019-05-05,24,37
2019-05-12,37,26
2019-05-19,34,35
2019-05-26,45,43
2019-06-02,31,34
2019-06-09,33,34
2019-06-16,33,36
2019-06-23,38,40
2019-06-30,41,39
2019-07-07,42,39
2019-07-14,50,41
2019-07-21,65,48
2019-07-28,56,51
2019-08-04,77,46
2019-08-11,57,45
2019-08-18,65,41
2019-08-25,86,57
2019-09-01,46,33
2019-09-08,38,22
2019-09-15,65,53
2019-09-22,51,42
2019-09-29,59,47
